,drug_ID,Pathway,Finall_affected_score
0,DB00818,hsa04080,1.0
6,DB00818,hsa04723,1.0
12,DB00818,hsa04726,1.0
14,DB00818,hsa04727,1.0
20,DB00818,hsa04742,0.3333333333333333
23,DB00818,hsa05032,1.0
29,DB00818,hsa05033,1.0
35,DB00139,hsa00250,-1.0
36,DB00139,hsa00650,-1.0
37,DB00139,hsa01100,-1.0
38,DB01142,hsa04020,-1.0
50,DB01142,hsa04022,-1.0
53,DB01142,hsa04024,-1.0
56,DB01142,hsa04080,-1.0
70,DB01142,hsa04151,-1.0
72,DB01142,hsa04152,-1.0
73,DB01142,hsa04261,-1.0
76,DB01142,hsa04270,-1.0
79,DB01142,hsa04540,-1.0
82,DB01142,hsa04721,-1.0
84,DB01142,hsa04725,-1.0
89,DB01142,hsa04726,-1.0
94,DB01142,hsa04742,-1.0
96,DB01142,hsa04750,-1.0
100,DB01142,hsa04810,-1.0
105,DB01142,hsa04911,-1.0
106,DB01142,hsa04970,-1.0
110,DB01142,hsa04971,-1.0
112,DB01142,hsa04972,-1.0
113,DB04846,hsa04020,0.3333333333333333
116,DB04846,hsa04022,-0.3333333333333333
122,DB04846,hsa04024,0.0
124,DB04846,hsa04080,-0.3333333333333333
130,DB04846,hsa04261,0.0
132,DB04846,hsa04540,-1.0
133,DB04846,hsa04714,1.0
134,DB04846,hsa04923,0.3333333333333333
137,DB04846,hsa04924,0.3333333333333333
140,DB04846,hsa04970,0.3333333333333333
143,DB04846,hsa05414,-1.0
144,DB09238,hsa04010,-1.0
153,DB09238,hsa04020,-1.0
159,DB09238,hsa04022,-1.0
163,DB09238,hsa04024,-1.0
167,DB09238,hsa04218,-1.0
168,DB09238,hsa04260,-1.0
175,DB09238,hsa04261,-1.0
182,DB09238,hsa04270,-1.0
186,DB09238,hsa04530,-1.0
187,DB09238,hsa04713,-1.0
190,DB09238,hsa04720,-1.0
191,DB09238,hsa04721,-1.0
192,DB09238,hsa04723,-1.0
197,DB09238,hsa04724,-1.0
200,DB09238,hsa04725,-1.0
205,DB09238,hsa04726,-1.0
210,DB09238,hsa04727,-1.0
215,DB09238,hsa04728,-1.0
218,DB09238,hsa04730,-1.0
219,DB09238,hsa04742,-1.0
221,DB09238,hsa04911,-1.0
225,DB09238,hsa04912,-1.0
229,DB09238,hsa04921,-1.0
236,DB09238,hsa04924,-1.0
240,DB09238,hsa04925,-1.0
245,DB09238,hsa04927,-1.0
250,DB09238,hsa04930,-1.0
254,DB09238,hsa04934,-1.0
259,DB09238,hsa04973,-1.0
260,DB09238,hsa05010,-1.0
264,DB09238,hsa05031,-1.0
266,DB09238,hsa05032,-1.0
267,DB09238,hsa05033,-1.0
268,DB09238,hsa05410,-1.0
275,DB09238,hsa05412,-1.0
282,DB09238,hsa05414,-1.0
289,DB00934,hsa04014,-1.0
290,DB00934,hsa04020,-1.0
299,DB00934,hsa04022,-1.0
305,DB00934,hsa04024,-1.0
307,DB00934,hsa04080,-1.0
320,DB00934,hsa04151,-1.0
322,DB00934,hsa04152,-1.0
323,DB00934,hsa04261,-1.0
326,DB00934,hsa04270,-1.0
329,DB00934,hsa04721,-1.0
330,DB00934,hsa04725,-1.0
335,DB00934,hsa04726,-1.0
336,DB00934,hsa04742,-1.0
