hgnc_symbol	drugbank_id	relation
SCN4A	DB01002	-1
DNMT1	DB00928	-1
DNMT3A	DB00928	-1
TYMS	DB00544	-1
GNRHR	DB00106	-1
MGAM	DB00284	-1
AMY2A	DB00284	-1
ADRB1	DB01193	-1
VKORC1	DB01418	-1
HRH1	DB01615	-1
CNR1	DB00316	1
PTGS2	DB00316	-1
CA2	DB00819	-1
CA12	DB00819	-1
CA4	DB00819	-1
CA1	DB00819	-1
DRD2	DB01063	-1
CHRM3	DB03128	1
CHRM4	DB03128	1
CHRM2	DB03128	1
PTGS1	DB00945	-1
PTGS2	DB00945	-1
RARG	DB00210	1
RARB	DB00210	1
ADORA2B	DB00640	1
ADORA1	DB00640	1
ADORA2A	DB00640	1
ADORA3	DB00640	1
PI4K2A	DB00640	-1
PI4K2B	DB00640	-1
P2RX1	DB00171	1
P2RX4	DB00171	1
P2RY2	DB00171	1
P2RY13	DB00171	1
TRPM4	DB00171	-1
GPR17	DB00171	1
TRPM4	DB00131	-1
ADRB2	DB01001	1
FDPS	DB00630	-1
OPRM1	DB00802	1
ADRA1D	DB00346	-1
ADRA1A	DB00346	-1
ADRA1B	DB00346	-1
REN	DB01258	-1
XDH	DB00437	-1
HTR1F	DB00918	1
HTR1D	DB00918	1
HTR1B	DB00918	1
HTR3A	DB00969	-1
VDR	DB01436	1
ADRB1	DB00866	-1
ADRB2	DB00866	-1
CATSPER4	DB00770	1
CATSPER3	DB00770	1
CATSPER1	DB00770	1
CATSPER2	DB00770	1
PTGER4	DB00770	1
PTGER2	DB00770	1
PTGER3	DB00770	1
PTGER1	DB00770	1
ACHE	DB01122	-1
NR3C1	DB00288	1
SLC9A5	DB00594	-1
ASIC2	DB00594	-1
PLG	DB00513	-1
PLAT	DB00513	-1
CYP19A1	DB00357	-1
CYP11A1	DB00357	-1
KCNH2	DB01118	-1
SCN5A	DB01118	-1
DRD3	DB06288	-1
DRD2	DB06288	-1
SLC6A2	DB00321	-1
SLC6A4	DB00321	-1
CHRM1	DB00321	-1
HRH1	DB00321	-1
IKBKE	DB01025	-1
TBK1	DB01025	-1
CACNA1D	DB00381	-1
CACNA1C	DB00381	-1
HTR6	DB00543	-1
SLC6A4	DB00543	-1
SLC6A2	DB00543	-1
DRD4	DB00543	-1
TAAR1	DB00182	1
PDE3A	DB00261	-1
CYP19A1	DB01217	-1
OPRM1	DB00913	1
GGCX	DB01125	-1
