Fluorouracil	Adenosine	Bromocriptine	Capecitabine	Clofarabine	Dopamine	Ergotamine	Eszopiclone	Fenoldopam	Floxuridine	Fludarabine	Leflunomide	Levodopa	Norepinephrine	Pemetrexed	Pentobarbital	Pergolide	Valproic acid	Vorinostat
0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
1	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0
1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
0	1	1	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0
0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
0	1	1	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0
0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0
0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1
0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
